ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec 
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,21/10/1951,NASCAR Grand National,Fonty Flock
Shippenville NASCAR,Shippenville NASCAR,USA,14/10/1951,NASCAR Grand National,Tim Flock
Martinsville NASCAR,Martinsville NASCAR,USA,14/10/1951,NASCAR Grand National,&quot;Frank Mundy&quot;
Oakland NASCAR,Oakland NASCAR,USA,14/10/1951,NASCAR Grand National,Marvin Burke
Thompson NASCAR,Thompson NASCAR,USA,12/10/1951,NASCAR Grand National,Neil Cole
Woodside F1,Jubilee Woodside Formula 1 Race,AUS,08/10/1951,Non-championship,Stan Jones
Hillsborough NASCAR,Hillsboro NASCAR,USA,07/10/1951,NASCAR Grand National,Herb Thomas
Wilson County NASCAR,Wilson County NASCAR,USA,30/09/1951,NASCAR Grand National,Fonty Flock
Goodwood F1,Goodwood Trophy,GBR,29/09/1951,Non-championship,Giuseppe Farina
Denver Indycars,Denver 100,USA,23/09/1951,AAA National Championship,Tony Bettenhausen
Charlotte NASCAR,Charlotte NASCAR,USA,23/09/1951,NASCAR Grand National,Herb Thomas
Dayton NASCAR,Dayton NASCAR,USA,23/09/1951,NASCAR Grand National,Fonty Flock
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,16/09/1951,F1 World Championship,Alberto Ascari
Langhorne NASCAR,Langhorne NASCAR,USA,15/09/1951,NASCAR Grand National,Herb Thomas
Detroit Indycars,Detroit 100,USA,09/09/1951,AAA National Championship,Paul Russo
Syracuse Indycars,Syracuse 100,USA,08/09/1951,AAA National Championship,Tony Bettenhausen
Macon NASCAR,Macon NASCAR,USA,08/09/1951,NASCAR Grand National,Herb Thomas
Columbia NASCAR,Columbia NASCAR,USA,07/09/1951,NASCAR Grand National,Tim Flock
Du Quoin Indycars,Du Quoin 200,USA,03/09/1951,AAA National Championship,Tony Bettenhausen
Pikes Peak,Pikes Peak,USA,03/09/1951,AAA National Championship,Al Rogers
Darlington NASCAR,Southern 500,USA,03/09/1951,NASCAR Grand National,Herb Thomas
Bari Grand Prix,Gran Premio di Bari,ITA,02/09/1951,Non-championship,Juan Manuel Fangio
Du Quoin Indycars,Du Quoin 100,USA,01/09/1951,AAA National Championship,Tony Bettenhausen
Milwaukee Indycars,Milwaukee 200,USA,26/08/1951,AAA National Championship,Walt Faulkner
Greenville NASCAR,Greenville NASCAR,USA,25/08/1951,NASCAR Grand National,Bob Flock
Morristown NASCAR,Morristown NASCAR,USA,24/08/1951,NASCAR Grand National,Tim Flock
Toledo NASCAR,Toledo NASCAR,USA,19/08/1951,NASCAR Grand National,Tim Flock
Springfield Indycars,Springfield 100,USA,18/08/1951,AAA National Championship,Tony Bettenhausen
Pescara Grand Prix,Gran Premio di Pescara,ITA,15/08/1951,Non-championship,Jose Froilan Gonzalez
Detroit NASCAR,Motor City 250,USA,12/08/1951,NASCAR Grand National,Tommy Thompson
Johore Grand Prix,Johore Grand Prix,MYS,06/08/1951,Non-championship,Bill Ferguson
Albi Grand Prix,Grand Prix d&#039;Albi,FRA,05/08/1951,Non-championship,Maurice Trintignant
Altamont NASCAR,Altamont NASCAR,USA,01/08/1951,NASCAR Grand National,Fonty Flock
Rochester NASCAR,Rochester NASCAR,USA,31/07/1951,NASCAR Grand National,Lee Petty
German Grand Prix,Grosser Preis von Deutschland,DEU,29/07/1951,F1 World Championship,Alberto Ascari
Weaverville NASCAR,Weaverville NASCAR,USA,29/07/1951,NASCAR Grand National,Fonty Flock
Dutch Grand Prix,Grote Prijs van Nederland,NLD,22/07/1951,Non-championship,Louis Rosier
Scottish Grand Prix,Scottish Grand Prix,GBR,21/07/1951,Non-championship,Philip Fotheringham-Parker
Pittsburgh NASCAR,Pittsburgh NASCAR,USA,15/07/1951,NASCAR Grand National,Herb Thomas
British Grand Prix,British Grand Prix,GBR,14/07/1951,F1 World Championship,Jose Froilan Gonzalez
Bainbridge NASCAR,Bainbridge NASCAR,USA,08/07/1951,NASCAR Grand National,Fonty Flock
Darlington Indycars,Darlington 250,USA,04/07/1951,AAA National Championship,Walt Faulkner
French Grand Prix,Grand Prix de l&#039;Automobile Club de France et d&#039;Europe,FRA,01/07/1951,Luigi Fagioli,Juan Manuel Fangio
Grand Rapids NASCAR,Grand Rapids NASCAR,USA,01/07/1951,NASCAR Grand National,Marshall Teague
Gardena NASCAR,Gardena NASCAR,USA,30/06/1951,NASCAR Grand National,Lou Figaro
Langhorne Indycars,Langhorne 100,USA,24/06/1951,AAA National Championship,Tony Bettenhausen
Dayton NASCAR,Dayton NASCAR,USA,24/06/1951,NASCAR Grand National,Curtis Turner
Le Mans 24 Hours,24 heures du Mans,FRA,23/06/1951,Peter Walker,Peter Whitehead
Belgian Grand Prix,Grand Prix de Belgique,BEL,17/06/1951,F1 World Championship,Giuseppe Farina
Columbia NASCAR,Columbia NASCAR,USA,16/06/1951,NASCAR Grand National,&quot;Frank Mundy&quot;
Milwaukee Indycars,Rex Mays 100,USA,10/06/1951,AAA National Championship,Tony Bettenhausen
Columbus NASCAR,Columbus NASCAR,USA,10/06/1951,NASCAR Grand National,Tim Flock
Ulster Trophy,News of the World Ulster Trophy,GBR,02/06/1951,Non-championship,Giuseppe Farina
Indianapolis 500,Indianapolis 500,USA,30/05/1951,AAA National Championship,Lee Wallard
Canfield NASCAR,Poor Man&#039;s 500,USA,30/05/1951,NASCAR Grand National,Marshall Teague
Indianapolis 500,Indianapolis 500,USA,30/05/1951,F1 World Championship,Lee Wallard
Swiss Grand Prix,Grand Prix de Suisse,CHE,27/05/1951,F1 World Championship,Juan Manuel Fangio
Paris Grand Prix,Grand Prix de Paris,FRA,20/05/1951,Non-championship,Giuseppe Farina
Martinsville NASCAR,Martinsville NASCAR,USA,06/05/1951,NASCAR Grand National,Curtis Turner
International Trophy,Daily Express International Trophy,GBR,05/05/1951,Non-championship,Reg Parnell
Bordeaux Grand Prix,Grand Prix de Bordeaux,FRA,29/04/1951,Non-championship,Louis Rosier
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,29/04/1951,NASCAR Grand National,Fonty Flock
San Remo Grand Prix,Gran Premio di San Remo,ITA,22/04/1951,Non-championship,Alberto Ascari
Phoenix NASCAR,Phoenix NASCAR,USA,22/04/1951,NASCAR Grand National,Marshall Teague
Hillsborough NASCAR,Hillsboro NASCAR,USA,15/04/1951,NASCAR Grand National,Fonty Flock
Lakeview NASCAR,Lakeview Speedway NASCAR,USA,08/04/1951,NASCAR Grand National,Tim Flock
Gardena NASCAR,Gardena NASCAR,USA,08/04/1951,NASCAR Grand National,Marshall Teague
Charlotte NASCAR,Charlotte NASCAR,USA,01/04/1951,NASCAR Grand National,Curtis Turner
Pau Grand Prix,Grand Prix de Pau,FRA,26/03/1951,Non-championship,Luigi Villoresi
Goodwood F1,Richmond Trophy,GBR,26/03/1951,Non-championship,&quot;B Bira&quot;
Syracuse Grand Prix,Gran Premio di Siracusa,ITA,11/03/1951,Non-championship,Luigi Villoresi
Australian Grand Prix,Australian Grand Prix,AUS,05/03/1951,Non-championship,Warwick Pratley
New Zealand Grand Prix,New Zealand Grand Prix,NZL,03/03/1951,Non-championship,George Smith
Daytona NASCAR,Daytona NASCAR,USA,11/02/1951,NASCAR Grand National,Marshall Teague
Darlington Indycars,Darlington 200,USA,10/12/1950,AAA National Championship,Johnnie Parsons
Bay Meadows Indycars,Bay Meadows 150,USA,26/11/1950,AAA National Championship,Tony Bettenhausen
Phoenix Indycars,Phoenix 100,USA,12/11/1950,AAA National Championship,Jimmy Davies
Penya Rhin Grand Prix,Gran Premio do Penya Rhin,ESP,29/10/1950,Non-championship,Alberto Ascari
Hillsborough NASCAR,Hillsboro NASCAR,USA,29/10/1950,NASCAR Grand National,Lee Petty
Sacramento Indycars,Golden State 100,USA,15/10/1950,AAA National Championship,Duke Dinsmore
Martinsville NASCAR,Martinsville NASCAR,USA,15/10/1950,NASCAR Grand National,Herb Thomas
Winchester NASCAR,Winchester NASCAR,USA,15/10/1950,NASCAR Grand National,Lloyd Moore
Springfield Indycars,Springfield 100,USA,01/10/1950,AAA National Championship,Tony Bettenhausen
Vernon NASCAR,Vernon NASCAR,USA,01/10/1950,NASCAR Grand National,Dick Linder
Goodwood F1,Goodwood Trophy,GBR,30/09/1950,Non-championship,Reg Parnell
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,24/09/1950,NASCAR Grand National,Leon Sales
Langhorne NASCAR,Langhorne NASCAR,USA,17/09/1950,NASCAR Grand National,Fonty Flock
Detroit Indycars,Detroit 100,USA,10/09/1950,AAA National Championship,Henry Banks
Syracuse Indycars,Syracuse 100,USA,09/09/1950,AAA National Championship,Jack McGrath
Pikes Peak,Pikes Peak,USA,04/09/1950,AAA National Championship,Al Rogers
Darlington NASCAR,Southern 500,USA,04/09/1950,NASCAR Grand National,Johnny Mantz
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,03/09/1950,F1 World Championship,Giuseppe Farina
Milwaukee Indycars,Milwaukee 200,USA,27/08/1950,AAA National Championship,Walt Faulkner
Hamburg NASCAR,Hamburg NASCAR,USA,27/08/1950,NASCAR Grand National,Dick Linder
International Trophy,Daily Express International Trophy,GBR,26/08/1950,Non-championship,Giuseppe Farina
Dayton NASCAR,Dayton NASCAR,USA,20/08/1950,NASCAR Grand National,Dick Linder
Springfield Indycars,Springfield 100,USA,19/08/1950,AAA National Championship,Paul Russo
Gamston F1,Sheffield Telegraph Trophy,GBR,19/08/1950,Non-championship,Cuth Harrison
Pescara Grand Prix,Gran Premio di Pescara,ITA,15/08/1950,Non-championship,Juan Manuel Fangio
Hillsborough NASCAR,Hillsboro NASCAR,USA,13/08/1950,NASCAR Grand National,Fireball Roberts
Ulster Trophy,Ulster Trophy,GBR,12/08/1950,Non-championship,Peter Whitehead
Gamston F1,Nottingham Trophy,GBR,07/08/1950,Non-championship,David Hampshire
Johore Grand Prix,Johore Grand Prix,MYS,06/08/1950,Non-championship,JM Patterson
Nations Grand Prix,Grand Prix des Nations,CHE,30/07/1950,Non-championship,Juan Manuel Fangio
Dutch Grand Prix,Grote Prijs van Nederland,NLD,23/07/1950,Non-championship,Louis Rosier
Charlotte NASCAR,Charlotte NASCAR,USA,23/07/1950,NASCAR Grand National,Curtis Turner
Albi Grand Prix,Grand Prix d&#039;Albi,FRA,16/07/1950,Non-championship,Louis Rosier
Jersey F1,JCC Jersey Road Race,GBR,13/07/1950,Non-championship,Peter Whitehead
Bari Grand Prix,Gran Premio di Bari,ITA,09/07/1950,Non-championship,Giuseppe Farina
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,02/07/1950,F1 World Championship,Juan Manuel Fangio
Rochester NASCAR,Rochester NASCAR,USA,02/07/1950,NASCAR Grand National,Curtis Turner
Langhorne Indycars,Langhorne 100,USA,25/06/1950,AAA National Championship,Jack McGrath
Dayton NASCAR,Dayton NASCAR,USA,25/06/1950,NASCAR Grand National,Jimmy Florian
Le Mans 24 Hours,24 heures du Mans,FRA,24/06/1950,Jean-Louis Rosier,Louis Rosier
Belgian Grand Prix,Grand Prix de Belgique,BEL,18/06/1950,F1 World Championship,Juan Manuel Fangio
Vernon NASCAR,Vernon NASCAR,USA,18/06/1950,NASCAR Grand National,Bill Blair
British Empire Trophy,British Empire Trophy,GBR,15/06/1950,Non-championship,Bob Gerard
Milwaukee Indycars,Rex Mays 100,USA,11/06/1950,AAA National Championship,Tony Bettenhausen
Swiss Grand Prix,Grand Prix de Suisse,CHE,04/06/1950,F1 World Championship,Giuseppe Farina
Indianapolis 500,Indianapolis 500,USA,30/05/1950,AAA National Championship,Johnnie Parsons
Canfield NASCAR,Poor Man&#039;s 500,USA,30/05/1950,NASCAR Grand National,Bill Rexford
Indianapolis 500,Indianapolis 500,USA,30/05/1950,F1 World Championship,Johnnie Parsons
Martinsville NASCAR,Martinsville NASCAR,USA,21/05/1950,NASCAR Grand National,Curtis Turner
Monaco Grand Prix,Grand Prix de Monaco,MCO,21/05/1950,F1 World Championship,Juan Manuel Fangio
British Grand Prix,British and European Grand Prix,GBR,13/05/1950,F1 World Championship,Giuseppe Farina
Paris Grand Prix,Grand Prix de Paris,FRA,30/04/1950,Non-championship,Georges Grignard
San Remo Grand Prix,Gran Premio di San Remo,ITA,16/04/1950,Non-championship,Juan Manuel Fangio
Langhorne NASCAR,Langhorne NASCAR,USA,16/04/1950,NASCAR Grand National,Curtis Turner
Pau Grand Prix,Grand Prix de Pau,FRA,10/04/1950,Non-championship,Juan Manuel Fangio
Goodwood F1,Richmond Trophy,GBR,10/04/1950,Non-championship,Reg Parnell
Charlotte NASCAR,Charlotte NASCAR,USA,02/04/1950,NASCAR Grand National,Tim Flock
New Zealand Grand Prix,New Zealand Grand Prix,NZL,18/03/1950,Non-championship,John McMillan
Daytona NASCAR,Daytona NASCAR,USA,05/02/1950,NASCAR Grand National,Harold Kite
Australian Grand Prix,Australian Grand Prix,AUS,02/01/1950,Non-championship,Doug Whiteford
Del Mar Indycars,Del Mar 100,USA,06/11/1949,AAA National Championship,Jimmy Davies
Sacramento Indycars,Golden State 100,USA,30/10/1949,AAA National Championship,Fred Agabashian
Langhorne Indycars,Langhorne 100,USA,16/10/1949,AAA National Championship,Johnnie Parsons
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,16/10/1949,NASCAR Strictly Stock Championship,Bob Flock
Salon Grand Prix,Grand Prix du Salon,FRA,09/10/1949,Non-championship,Raymond Sommer
Pittsburgh NASCAR,Pittsburgh NASCAR,USA,02/10/1949,NASCAR Strictly Stock Championship,Lee Petty
Czech Grand Prix,Czechoslovakian Grand Prix,CZE,25/09/1949,Non-championship,Peter Whitehead
Springfield Indycars,Springfield 100,USA,25/09/1949,AAA National Championship,Johnnie Parsons
Martinsville NASCAR,Martinsville NASCAR,USA,25/09/1949,NASCAR Strictly Stock Championship,Red Byron
Hamburg NASCAR,Hamburg NASCAR,USA,18/09/1949,NASCAR Strictly Stock Championship,Jack White
Australian Grand Prix,Australian Grand Prix,AUS,18/09/1949,Non-championship,John Crouch
Goodwood F1,Goodwood Trophy,GBR,17/09/1949,Non-championship,Reg Parnell
Italian Grand Prix,Gran Premio d&#039;Italia e Europa,ITA,11/09/1949,Non-championship,Alberto Ascari
Detroit Indycars,Detroit 100,USA,11/09/1949,AAA National Championship,Tony Bettenhausen
Langhorne NASCAR,Langhorne NASCAR,USA,11/09/1949,NASCAR Strictly Stock Championship,Curtis Turner
Syracuse Indycars,Syracuse 100,USA,10/09/1949,AAA National Championship,Johnnie Parsons
Pikes Peak,Pikes Peak,USA,05/09/1949,AAA National Championship,Al Rogers
Du Quoin Indycars,Du Quoin 100,USA,03/09/1949,AAA National Championship,Tony Bettenhausen
Milwaukee Indycars,Milwaukee 200,USA,28/08/1949,AAA National Championship,Johnnie Parsons
Lausanne Grand Prix,Grand Prix de Lausanne,CHE,27/08/1949,Non-championship,Giuseppe Farina
Springfield Indycars,Springfield 100,USA,20/08/1949,AAA National Championship,Mel Hansen
International Trophy,Daily Express International Trophy,GBR,20/08/1949,Non-championship,Alberto Ascari
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,07/08/1949,Non-championship,Charles Pozzi
Hillsborough NASCAR,Hillsboro NASCAR,USA,07/08/1949,NASCAR Strictly Stock Championship,Bob Flock
Zandvoort Grand Prix,Grote Prijs van Zandvoort,NLD,31/07/1949,Non-championship,Luigi Villoresi
Unofficial French Grand Prix,Grand Prix de France,FRA,17/07/1949,Non-championship,Louis Chiron
Daytona NASCAR,Daytona NASCAR,USA,10/07/1949,NASCAR Strictly Stock Championship,Red Byron
Albi Grand Prix,Grand Prix d&#039;Albi,FRA,10/07/1949,Non-championship,Juan Manuel Fangio
Swiss Grand Prix,Grand Prix de Suisse,CHE,03/07/1949,Non-championship,Alberto Ascari
Le Mans 24 Hours,24 heures du Mans,FRA,25/06/1949,Luigi Chinetti,Peter Selsdon
Belgian Grand Prix,Grand Prix de Belgique,BEL,19/06/1949,Non-championship,Louis Rosier
Trenton Indycars,Trenton 100,USA,19/06/1949,AAA National Championship,Myron Fohr
Charlotte NASCAR,Charlotte NASCAR,USA,19/06/1949,NASCAR Strictly Stock Championship,Jim Roper
Milwaukee Indycars,Milwaukee 100,USA,05/06/1949,AAA National Championship,Myron Fohr
Frontiers Grand Prix,Grand Prix des Frontieres,BEL,05/06/1949,Non-championship,Guy Mairesse
Indianapolis 500,Indianapolis 500,USA,30/05/1949,AAA National Championship,Bill Holland
British Empire Trophy,British Empire Trophy,GBR,26/05/1949,Non-championship,Bob Gerard
Marseille Grand Prix,Grand Prix de Marseille,FRA,22/05/1949,Non-championship,Juan Manuel Fangio
Erlen F1,Preis von Ostschweiz-Erlen,CHE,22/05/1949,Non-championship,Emmanuel de Graffenried
British Grand Prix,British Grand Prix,GBR,14/05/1949,Non-championship,Emmanuel de Graffenried
Perpignan F1,Grand Prix du Roussillon,FRA,07/05/1949,Non-championship,Juan Manuel Fangio
Jersey F1,JCC Jersey Road Race,GBR,28/04/1949,Non-championship,Bob Gerard
Dallas Indycars,Arlington 100,USA,24/04/1949,AAA National Championship,Johnnie Parsons
Paris Grand Prix,Grand Prix de Paris,FRA,24/04/1949,Non-championship,Philippe Etancelin
Pau Grand Prix,Grand Prix de Pau,FRA,18/04/1949,Non-championship,Juan Manuel Fangio
Goodwood F1,Richmond Trophy,GBR,18/04/1949,Non-championship,Reg Parnell
San Remo Grand Prix,Gran Premio di San Remo,ITA,03/04/1949,Non-championship,Juan Manuel Fangio
Penya Rhin Grand Prix,Gran Premio do Penya Rhin,ESP,31/10/1948,Non-championship,Luigi Villoresi
Garda Circuit,Circuito del Garda,ITA,24/10/1948,Non-championship,Giuseppe Farina
Monza Grand Prix,Gran Premio di Monza,ITA,17/10/1948,Non-championship,Jean-Pierre Wimille
Du Quoin Indycars,Du Quoin 100,USA,10/10/1948,AAA National Championship,Johnnie Parsons
Salon Grand Prix,Grand Prix du Salon,FRA,10/10/1948,Non-championship,Louis Rosier
British Grand Prix,British Grand Prix,GBR,02/10/1948,Non-championship,Luigi Villoresi
Springfield Indycars,Springfield 100,USA,19/09/1948,AAA National Championship,Myron Fohr
Goodwood F1,Goodwood Trophy,GBR,18/09/1948,Non-championship,Reg Parnell
Atlanta Indycars,Atlanta 100,USA,06/09/1948,AAA National Championship,Mel Hansen
Pikes Peak,Pikes Peak,USA,06/09/1948,AAA National Championship,Al Rogers
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,05/09/1948,Non-championship,Jean-Pierre Wimille
Du Quoin Indycars,Du Quoin 100,USA,04/09/1948,AAA National Championship,Lee Wallard
Milwaukee Indycars,Milwaukee 200,USA,29/08/1948,Tony Bettenhausen,Myron Fohr
Albi Grand Prix,Grand Prix d&#039;Albi,FRA,29/08/1948,Non-championship,Luigi Villoresi
Springfield Indycars,Springfield 100,USA,21/08/1948,AAA National Championship,Ted Horn
Milwaukee Indycars,Milwaukee 100,USA,15/08/1948,AAA National Championship,Johnny Mantz
Erlen F1,Preis von Ostschweiz-Erlen,CHE,08/08/1948,Non-championship,Emmanuel de Graffenried
Zandvoort Grand Prix,Grote Prijs van Zandvoort,NLD,07/08/1948,Non-championship,&quot;B Bira&quot;
Comminges Grand Prix,Grand Prix du Comminges,FRA,01/08/1948,Non-championship,Luigi Villoresi
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,18/07/1948,Non-championship,Jean-Pierre Wimille
Swiss Grand Prix,Grand Prix de Suisse et d&#039;Europe,CHE,04/07/1948,Non-championship,Carlo Felice Trossi
San Remo Grand Prix,Gran Premio di San Remo,ITA,27/06/1948,Non-championship,Alberto Ascari
Langhorne Indycars,Langhorne 100,USA,20/06/1948,AAA National Championship,Walt Brown
Milwaukee Indycars,Milwaukee 100,USA,06/06/1948,AAA National Championship,Emil Andres
Indianapolis 500,Indianapolis 500,USA,30/05/1948,AAA National Championship,Mauri Rose
Paris Grand Prix,Grand Prix de Paris,FRA,30/05/1948,Non-championship,Yves Giraud-Cabantous
British Empire Trophy,British Empire Trophy,GBR,25/05/1948,Non-championship,Geoffrey Ansell
Monaco Grand Prix,Grand Prix de Monaco,MCO,16/05/1948,Non-championship,Giuseppe Farina
Geneva Grand Prix,Grand Prix de Geneve et des Nations,CHE,02/05/1948,Non-championship,Giuseppe Farina
Jersey F1,JCC Jersey Road Race,GBR,29/04/1948,Non-championship,Bob Gerard
Dallas Indycars,Arlington 100,USA,25/04/1948,AAA National Championship,Ted Horn
Pau Grand Prix,Grand Prix de Pau,FRA,29/03/1948,Non-championship,Nello Pagani
Australian Grand Prix,Australian Grand Prix,AUS,26/01/1948,Non-championship,Frank Pratt
Salon Grand Prix,Grand Prix du Salon,FRA,16/11/1947,Non-championship,Yves Giraud-Cabantous
Dallas Indycars,Arlington 100,USA,02/11/1947,AAA National Championship,Ted Horn
Australian Grand Prix,Australian Grand Prix,AUS,06/10/1947,Non-championship,Bill Murray
Lausanne Grand Prix,Grand Prix de Lausanne,CHE,05/10/1947,Non-championship,Luigi Villoresi
Springfield Indycars,Springfield 100,USA,28/09/1947,AAA National Championship,Tony Bettenhausen
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,21/09/1947,Non-championship,Louis Chiron
